Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Beer, de-alcoholized, (Labbat .5TM)",1 can,350,210,878,1,47,28,0,tr,0.1,0,24,0.2,45,28,24,56,0,2,1,0
"Beer, high alcohol (7%alcohol by volume)",1 bottle,342,183,766,1,10,,0.7,0,0,0,17,0.1,17,86,21,41,0,0,20,0
"Beer, light (4% alcohol by volume)",1 bottle,340,99,412,1,5,tr,0,0,0,0,14,0.1,14,71,17,41,0,0,11,0
"Beer, regular (5% alcohol by volume)",1 bottle,342,140,586,1,10,0,0,0,0,0,14,0.1,14,92,21,48,0,0,14,0
"Cocktail, daiquiri",125mL,128,237,993,tr,9,7,0.1,tr,tr,0,4,0.1,6,27,3,6,0,2,29,0
"Cocktail, margarita",125mL,131,246,1031,tr,6,4,0.1,tr,tr,0,4,0.1,527,23,2,7,tr,2,33,0
"Liqueur, coffee and cream",45mL,53,172,719,1,11,10,0,8,5.1,31,8,0.1,48,17,1,26,91,tr,7,4
Sangria,125mL,123,87,365,tr,12,10,0.1,tr,tr,0,9,0.2,13,80,8,10,1,6,6,0
"Spirits (gin, rum, vodka, whisky)",50mL,47,109,456,0,0,0,0,0,0,0,0,tr,1,1,0,2,0,0,16,0
Vodka cooler,1 bottle,390,220,799,tr,33,12,0.3,1,tr,0,20,0.9,12,211,23,19,tr,11,13,0
"Wine, dessert, sweet",125mL,127,203,848,tr,17,10,0,0,0,0,10,0.3,11,117,11,11,0,0,19,0
"Wine, table, red",125mL,125,90,375,tr,2,1,0,0,0,0,10,0.5,6,140,16,17,0,0,12,0
